datetime,station_antwerp,station_paris,station_london
572019200,,,23
572019300,50.5,25,19
572019400,45,27.7,19
572019500,,50.4,16
572019600,,61.9,
572019700,,72.4,26
572019800,,77.7,32
572019900,,67.9,32
5720191000,,56,28
5720191100,,34.5,21
5720191200,,20.1,21
5720191300,,13,18
5720191400,,10.6,20
5720191500,,13.2,18
5720191600,,11,20
5720191700,,11.7,20
5720191800,,18.2,21
5720191900,,22.3,20
5720192000,,21.4,20
5720192100,,26.8,24
5720192200,,36.2,24
5720192300,,33.9,
582019000,,35.8,24
582019100,,34,19
582019200,,22.1,19
582019300,23,19.6,20
582019400,20.5,15.3,20
582019500,,13.5,19
582019600,,15.5,19
582019700,,19.3,29
582019800,,21.7,34
582019900,,19.5,36
5820191000,,17,33
5820191100,,19.7,28
5820191200,,33.4,27
5820191300,,21.4,26
5820191400,,15.1,26
5820191500,,14.3,24
5820191600,,25.3,27
5820191700,,26,28
5820191800,,38.6,31
5820191900,,29.3,40
5820192000,,27.8,25
5820192100,,41.3,29
5820192200,,38.3,26
5820192300,,48.9,
592019000,,32.2,25
592019100,,25.2,30
592019200,,14.7,
592019300,20,10.6,31
592019400,20.5,10,31
592019500,,10.4,33
592019600,,15.3,33
592019700,,34.5,33
592019800,,50.7,33
592019900,,49,35
5920191000,,32.2,36
5920191100,,32.3,28
5920191200,,43.1,27
5920191300,,34.2,30
5920191400,,35.1,27
5920191500,,21.3,34
5920191600,,24.6,97
5920191700,,23.9,67
5920191800,,27,60
5920191900,,29.9,58
5920192000,,24.4,62
5920192100,,23.8,59
5920192200,,29.2,65
5920192300,,34.5,59
5102019000,,29.7,59
5102019100,,26.7,52
5102019200,,22.7,52
5102019300,10.5,19.1,41
5102019400,11.5,14.1,41
5102019500,,15,40
5102019600,,20.5,40
5102019700,,37.8,39
5102019800,,47.4,36
5102019900,,57.3,39
51020191000,,60.7,34
51020191100,,53.4,31
51020191200,,35.1,29
51020191300,,23.2,28
51020191400,,25.3,26
51020191500,,22,25
51020191600,,29.3,25
51020191700,,29.6,24
51020191800,,30.8,26
51020191900,,37.8,26
51020192000,,33.4,29
51020192100,,39.3,29
51020192200,,43.6,29
51020192300,,37,31
5112019000,,28.1,31
5112019100,,26,27
5112019200,,24.8,27
5112019300,26.5,15.5,32
5112019400,21,14.9,32
5112019500,,,35
5112019600,,,35
5112019700,,,30
5112019800,,28.9,30
5112019900,,29,27
51120191000,,32.1,30
51120191100,,35.7,
51120191200,,36.8,
51120191300,,33.2,
51120191400,,30.2,
51120191500,,30.8,
51120191600,,17.8,28
51120191700,,18,26
51120191800,,19.5,28
51120191900,,32,31
51120192000,,33.1,33
51120192100,,31.2,33
51120192200,,24.2,34
51120192300,,21.1,37
5122019000,,27.7,37
5122019100,,26.4,35
5122019200,,22.8,35
5122019300,17.5,19.2,38
5122019400,20,17.2,38
5122019500,,16,36
5122019600,,16.2,36
5122019700,,19.2,38
5122019800,,20.1,44
5122019900,,15.9,32
51220191000,,14.6,26
51220191100,,11.7,26
51220191200,,11.4,21
51220191300,,11.4,20
51220191400,,10.9,19
51220191500,,8.7,21
51220191600,,9.1,22
51220191700,,9.6,23
51220191800,,11.7,24
51220191900,,13.9,22
51220192000,,18.2,22
51220192100,,19.5,22
51220192200,,24.1,21
51220192300,,34.2,22
5132019000,,46.5,22
5132019100,,32.5,22
5132019200,,25,22
5132019300,14.5,18.9,24
5132019400,14.5,18.5,24
5132019500,,18.9,33
5132019600,,25.1,33
5132019700,,38.3,39
5132019800,,45.2,39
5132019900,,41,31
51320191000,,32.1,29
51320191100,,20.6,27
51320191200,,12.8,26
51320191300,,9.6,24
51320191400,,9.2,25
51320191500,,10.1,26
51320191600,,10.7,28
51320191700,,10.6,29
51320191800,,12.1,30
51320191900,,13,30
51320192000,,15.5,31
51320192100,,23.9,31
51320192200,,28.3,31
51320192300,,30.4,31
5142019000,,27.3,31
5142019100,,22.8,23
5142019200,,20.9,23
5142019300,14.5,19.1,26
5142019400,11.5,19,26
5142019500,,22.1,30
5142019600,,31.6,30
5142019700,,38.6,33
5142019800,,46.1,34
5142019900,,41.3,33
51420191000,,28.8,30
51420191100,,19,31
51420191200,,12.9,27
51420191300,,11.3,25
51420191400,,10.2,25
51420191500,,11,25
51420191600,,15.2,29
51420191700,,13.4,32
51420191800,,15.3,33
51420191900,,17.7,30
51420192000,,17.9,28
51420192100,,23.3,27
51420192200,,28.4,25
51420192300,,29,26
5152019000,,30.9,26
5152019100,,24.3,22
5152019200,,18.8,
5152019300,25.5,17.2,22
5152019400,22.5,16.8,22
5152019500,,17.9,25
5152019600,,28.9,25
5152019700,,46.5,33
5152019800,,48.1,33
5152019900,,32.1,34
51520191000,,25.7,35
51520191100,,0,36
51520191200,,0,35
51520191300,,0,30
51520191400,,9.4,31
51520191500,,10,30
51520191600,,11.9,38
51520191700,,12.9,38
51520191800,,12.2,33
51520191900,,12.9,35
51520192000,,16.5,33
51520192100,,20.3,31
51520192200,,30.1,32
51520192300,,36,33
5162019000,,44.1,33
5162019100,,30.9,33
5162019200,,27.4,33
5162019300,28,26,28
5162019400,,26.7,28
5162019500,,27.9,26
5162019600,,37,26
5162019700,,52.6,33
5162019800,,,34
5162019900,,40,33
51620191000,,39.4,32
51620191100,,29.5,31
51620191200,,13.5,33
51620191300,,10.5,30
51620191400,,9.2,27
51620191500,,8.5,27
51620191600,,8.1,26
51620191700,,10.1,29
51620191800,,10.3,30
51620191900,,13.5,25
51620192000,,15.9,27
51620192100,,14.4,26
51620192200,,24.8,25
51620192300,,24.3,25
5172019000,,37.1,25
5172019100,,43.7,23
5172019200,,46.3,23
5172019300,,26.1,21
5172019400,,24.6,21
5172019500,,26.6,21
5172019600,,28.4,21
5172019700,,34,25
5172019800,,46.3,27
5172019900,,55,27
51720191000,,57.5,29
51720191100,,60.5,30
51720191200,,51.5,30
51720191300,,43.1,30
51720191400,,46.5,29
51720191500,,37.9,31
51720191600,,27,32
51720191700,,22.2,30
51720191800,,20.7,29
51720191900,,27.9,31
51720192000,,33.6,36
51720192100,,24.7,36
51720192200,,23.5,36
51720192300,,24.3,35
5182019000,,28.2,35
5182019100,,34.1,31
5182019200,,31.5,31
5182019300,41.5,37.4,31
5182019400,,29,31
5182019500,,16.1,29
5182019600,,16.6,29
5182019700,,20.1,27
5182019800,,22.1,29
5182019900,,27.4,35
51820191000,,20.4,32
51820191100,,21.1,35
51820191200,,24.1,34
51820191300,,17.5,38
51820191400,,12.9,29
51820191500,,10.5,27
51820191600,,11.8,28
51820191700,,13,30
51820191800,,14.6,42
51820191900,,12.8,42
51820192000,35.5,14.5,36
51820192100,35.5,67.5,35
51820192200,40,36.2,41
51820192300,39,59.3,46
5192019000,34.5,62.5,46
5192019100,29.5,50.2,49
5192019200,23.5,49.6,49
5192019300,22.5,34.9,49
5192019400,19,38.1,49
5192019500,19,36.4,49
5192019600,21,39.4,49
5192019700,26,40.9,38
5192019800,30.5,31.1,36
5192019900,30,32.4,33
51920191000,23.5,31.7,30
51920191100,16,33,27
51920191200,17.5,31,28
51920191300,17,32.6,25
51920191400,16,27.9,27
51920191500,14.5,21,31
51920191600,23,23.8,29
51920191700,33,31.7,28
51920191800,17.5,32.5,27
51920191900,18.5,33.9,29
51920192000,15.5,32.7,30
51920192100,26,51.2,32
51920192200,15,35.6,32
51920192300,12.5,23.2,32
5202019000,18.5,22.2,32
5202019100,16.5,18.8,28
5202019200,26,16.4,28
5202019300,17,12.8,32
5202019400,10.5,12.1,32
5202019500,9,12.6,26
5202019600,14,14.9,26
5202019700,20,25.2,31
5202019800,26,40.1,31
5202019900,38,46.9,29
52020191000,40,46.1,29
52020191100,30.5,45.5,28
52020191200,25,43.9,28
52020191300,25,35.4,28
52020191400,34.5,23.8,29
52020191500,32,23.7,32
52020191600,24.5,27.5,32
52020191700,25.5,26.5,29
52020191800,,32.4,30
52020191900,,24.6,33
52020192000,,32.2,32
52020192100,,21.3,32
52020192200,,21.6,34
52020192300,,20.3,47
5212019000,,20.7,47
5212019100,,19.6,35
5212019200,,16.9,35
5212019300,15.5,16.3,26
5212019400,,17.7,26
5212019500,,17.9,23
5212019600,,18.5,23
5212019700,,38,30
5212019800,,62.6,27
5212019900,,56,28
52120191000,,54.2,29
52120191100,,48.1,29
52120191200,,30.4,26
52120191300,,25.5,26
52120191400,,30.5,28
52120191500,,49.7,33
52120191600,,47.8,34
52120191700,,36.6,34
52120191800,,42.3,37
52120191900,,75,35
52120192000,,54.3,40
52120192100,,50,38
52120192200,,40.8,33
52120192300,,43,33
5222019000,,33.2,33
5222019100,,29.5,30
5222019200,,27.1,30
5222019300,20.5,27.9,27
5222019400,,19.2,27
5222019500,,25.2,21
5222019600,,33.7,21
5222019700,,45.1,28
5222019800,,75.7,29
5222019900,,75.4,31
52220191000,,70.8,31
52220191100,,63.1,31
52220191200,,57.8,28
52220191300,,42.6,25
52220191400,,42.2,25
52220191500,,38.5,28
52220191600,,40,30
52220191700,,33.2,32
52220191800,,34.9,34
52220191900,,36.1,34
52220192000,,34.1,33
52220192100,,36.2,33
52220192200,,44.9,31
52220192300,,37.7,32
5232019000,,29.8,32
5232019100,,62.1,23
5232019200,,53.3,23
5232019300,60.5,53.1,20
5232019400,,66.6,20
5232019500,,76.8,19
5232019600,,71.9,19
5232019700,,68.7,24
5232019800,,79.6,26
5232019900,,91.8,25
52320191000,,97,23
52320191100,,79.4,25
52320191200,,28.3,24
52320191300,,17,25
52320191400,,16.4,28
52320191500,,21.2,34
52320191600,,17.2,38
52320191700,,17.5,53
52320191800,,17.8,60
52320191900,,22.7,54
52320192000,,23.5,51
52320192100,,28,45
52320192200,,33.8,44
52320192300,,47,39
5242019000,,61.9,39
5242019100,,23.2,31
5242019200,,32.8,
5242019300,74.5,28.8,31
5242019400,,28.4,31
5242019500,,19.4,23
5242019600,,28.1,23
5242019700,,35.9,29
5242019800,,40.7,28
5242019900,,54.8,26
52420191000,,45.9,24
52420191100,,37.9,23
52420191200,,28.6,26
52420191300,,40.6,29
52420191400,,29.3,33
52420191500,,24.3,39
52420191600,,20.5,40
52420191700,,22.7,43
52420191800,,27.3,46
52420191900,,25.2,46
52420192000,,23.3,44
52420192100,,21.9,42
52420192200,,31.7,38
52420192300,,18.1,39
5252019000,,18,39
5252019100,,16.5,32
5252019200,,17.4,32
5252019300,29,12.8,25
5252019400,,20.3,25
5252019500,,,21
5252019600,,,21
5252019700,,,22
5252019800,,36.9,22
5252019900,,42.1,23
52520191000,,44.5,23
52520191100,,33.6,21
52520191200,,26.3,23
52520191300,,19.5,24
52520191400,,18.6,26
52520191500,,26.1,31
52520191600,,23.6,37
52520191700,,30,42
52520191800,,31.9,46
52520191900,,20.6,47
52520192000,,30.4,47
52520192100,,22.1,44
52520192200,,43.6,41
52520192300,,39.5,36
5262019000,,63.9,36
5262019100,,70.2,32
5262019200,,67,32
5262019300,53,49.8,26
5262019400,,23.4,26
5262019500,,22.9,20
5262019600,,22.3,20
5262019700,,16.8,17
5262019800,,15.1,17
5262019900,,13.4,15
52620191000,,11,15
52620191100,,10.3,16
52620191200,,11.3,17
52620191300,,13.3,21
52620191400,,11.5,24
52620191500,,12.5,25
52620191600,,15.3,26
52620191700,,11.7,27
52620191800,,17.1,26
52620191900,,17.3,28
52620192000,,22.8,26
52620192100,,17.8,25
52620192200,,16.6,27
52620192300,,16.1,26
5272019000,,15.2,26
5272019100,,10.3,26
5272019200,,9.5,26
5272019300,10.5,7.1,24
5272019400,,5.9,24
5272019500,,4.8,19
5272019600,,6.5,19
5272019700,,20.3,18
5272019800,,29.1,18
5272019900,,29.5,18
52720191000,,34.2,18
52720191100,,31.4,16
52720191200,,23.3,17
52720191300,,19.3,17
52720191400,,17.3,20
52720191500,,17.5,20
52720191600,,17.3,22
52720191700,,25.6,22
52720191800,,23.6,22
52720191900,,22.9,22
52720192000,,25.6,22
52720192100,,22.1,23
52720192200,,22.3,20
52720192300,,18.8,19
5282019000,,19.9,19
5282019100,,22.6,16
5282019200,,15.4,16
5282019300,11,8.2,16
5282019400,,6.4,16
5282019500,,6.1,15
5282019600,,8.9,15
5282019700,,19.9,19
5282019800,,28.8,20
5282019900,,33.8,20
52820191000,,31.2,20
52820191100,,24.3,21
52820191200,,21.6,21
52820191300,,20.5,28
52820191400,,24.8,27
52820191500,,18.5,29
52820191600,,18.8,30
52820191700,,25,27
52820191800,,26.5,25
52820191900,,20.8,29
52820192000,,16.2,29
52820192100,,18.5,29
52820192200,,20.4,31
52820192300,,20.4,
5292019000,,20.2,25
5292019100,,25.3,26
5292019200,,23.4,26
5292019300,21,21.6,23
5292019400,,19,23
5292019500,,20.3,21
5292019600,,24.1,21
5292019700,,36.7,24
